Player,Position,Team,Rebounds,Assists,Steals,Blocks,Turnovers,Fantasy_Points
Giannis Antetokounmpo,PF,MIL,0,0,0,0,0,161.4
CJ McCollum,SG,NOP,0,0,0,0,0,21.7
Daniel Gafford,C,DAL,0,0,0,0,0,112.9
Jaren Jackson Jr.,C,MEM,0,0,0,0,0,130.0
Kelly Oubre Jr.,SF,PHL,0,0,0,0,0,55.2
Clint Capela,C,ATL,0,0,0,0,0,105.6
Trae Young,PG,ATL,0,0,0,0,0,216.7
Ja Morant,PG,MEM,0,0,0,0,0,147.8
Obi Toppin,PF,IND,0,0,0,0,0,13.5
Walker Kessler,C,UTA,0,0,0,0,0,143.3
Dillon Brooks,SF,HOU,0,0,0,0,0,63.2
Carlton Carrington,PG,WAS,0,0,0,0,0,31.3
James Harden,PG,LAC,0,0,0,0,0,173.6
Jrue Holiday,PG,BOS,0,0,0,0,0,109.9
Draymond Green,PF,GSW,0,0,0,0,0,104.1
Dennis Schroder,PG,GSW,0,0,0,0,0,183.8
Taurean Prince,SF,MIL,0,0,0,0,0,33.7
Alperen Sengun,C,HOU,0,0,0,0,0,108.8
T.J. McConnell,PG,IND,0,0,0,0,0,21.9
Isaiah Jackson,PF,IND,0,0,0,0,0,29.0
Tyus Jones,PG,PHO,0,0,0,0,0,96.3
Russell Westbrook,PG,DEN,0,0,0,0,0,82.0
Jonas Valanciunas,C,WAS,0,0,0,0,0,81.3
Jakob Poeltl,C,TOR,0,0,0,0,0,191.2
Royce O'Neale,SF,PHO,0,0,0,0,0,20.4
Julian Champagnie,SF,SAS,0,0,0,0,0,51.8
Michael Porter Jr.,SF,DEN,0,0,0,0,0,155.5
Kevin Huerter,SG,SAC,0,0,0,0,0,21.9
Jaylen Brown,SF,BOS,0,0,0,0,0,136.1
Luke Kornet,C,BOS,0,0,0,0,0,21.3
Luguentz Dort,SG,OKC,0,0,0,0,0,111.0
P.J. Washington,PF,DAL,0,0,0,0,0,142.9
Rui Hachimura,PF,LAL,0,0,0,0,0,82.5
Anfernee Simons,SG,POR,0,0,0,0,0,123.5
Moritz Wagner,C,ORL,0,0,0,0,0,39.7
Caris LeVert,SG,CLE,0,0,0,0,0,80.4
Ivica Zubac,C,LAC,0,0,0,0,0,98.2
Deandre Ayton,C,POR,0,0,0,0,0,139.7
Zach Edey,C,MEM,0,0,0,0,0,13.0
Collin Sexton,SG,UTA,0,0,0,0,0,90.5
Jaden McDaniels,SF,MIN,0,0,0,0,0,68.4
